rank,title,artists
1,마음을 드려요,['아이유']
2,아무노래,['지코 (ZICO)']
3,FIESTA,['IZ*ONE (아이즈원)']
4,둘만의 세상으로 가,['Crush']
5,METEOR,['창모 (CHANGMO)']
6,"다시 난, 여기",['백예린']
7,Psycho,['Red Velvet (레드벨벳)']
8,Black Swan,['방탄소년단']
9,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),['방탄소년단']
10,Blueming,['아이유']
11,늦은 밤 너의 집 앞 골목길에서,['노을']
12,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,['장범준']
13,HIP,['마마무 (Mamamoo)']
14,너를 사랑하고 있어,['백현 (BAEKHYUN)']
15,봄날,['방탄소년단']
16,어떤 날엔,['김재환']
17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",['AKMU (악동뮤지션)']
18,소우주 (Mikrokosmos),['방탄소년단']
19,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)","['염따', '딥플로우', '팔로알토 (Paloalto)', 'The Quiett', '사이먼 도미닉']"
20,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),['마크툽 (MAKTUB)']
21,IDOL,['방탄소년단']
22,내 마음의 사진,['송가인']
23,Flower,['윤미래']
24,Love poem,['아이유']
25,Make It Right,['방탄소년단']
26,Square (2017),['백예린']
27,Dionysus,['방탄소년단']
28,시작,['가호 (Gaho)']
29,빌었어,['창모 (CHANGMO)']
30,안녕,['폴킴']
31,마음이 말하는 행복 (Happiness) (Feat.이라온),['마크툽 (MAKTUB)']
32,사랑이란 멜로는 없어,['전상근']
33,AYAYAYA,['IZ*ONE (아이즈원)']
34,"다시는 사랑하지 않고, 이별에 아파하기 싫어",['백지영']
35,2002,['Anne-Marie']
36,조금 취했어 (Prod. 2soo),['임재현']
37,보통의 연애,"['벤', 'CSP']"
38,잘 지내고 있는지 궁금해,['V.O.S']
39,EYES,['IZ*ONE (아이즈원)']
40,DREAMLIKE,['IZ*ONE (아이즈원)']
41,SO CURIOUS,['IZ*ONE (아이즈원)']
42,"모든 날, 모든 순간 (Every day, Every Moment)",['폴킴']
43,나의 오랜 연인에게,['다비치']
44,그때 그 아인,['김필']
45,다시 만날까 봐,['V.O.S']
46,SPACESHIP,['IZ*ONE (아이즈원)']
47,노을,['다비치']
48,Birthday,['Anne-Marie']
49,우연이 아니야,['IZ*ONE (아이즈원)']
50,나의 모든 날,['세정']
